Name,Nation,Club,League,Position,Age,Height,Weight,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Acceleration,Sprint,Positioning,Finishing,Shot,Long,Volleys,Penalties,Vision,Crossing,Free,Curve,Agility,Balance,Reactions,Ball,Composure,Interceptions,Heading,Def,Standing,Sliding,Jumping,Stamina,Strength,Aggression,Att work rate,Def work rate,Preferred foot,Weak foot,Skill moves,ID,Gender,GK
Diogo Jota,Portugal,Liverpool,Premier League,CF,27,178,68,85,82,82,75,85,57,77,85,80,87,85,77,72,79,69,78,73,58,77,86,85,88,84,80,56,86,53,57,45,90,79,71,85,High,High,Right,5,4,224458,M,
Kieran Trippier,England,Newcastle Utd,Premier League,RB,33,173,71,85,68,65,86,76,82,72,73,64,77,54,84,86,58,66,85,92,87,87,66,79,85,85,84,83,79,82,84,81,79,85,64,75,Medium,Medium,Right,4,3,186345,M,
Raphaël Varane,France,Manchester Utd,Premier League,CB,30,191,81,85,79,49,64,61,86,78,75,83,55,46,78,76,42,43,59,42,52,46,62,39,86,76,82,85,85,88,87,83,90,65,84,78,Medium,High,Right,4,2,201535,M,
Thiago,Spain,Liverpool,Premier League,CM,32,174,70,84,61,72,86,89,71,67,69,54,72,68,90,88,81,75,86,78,77,84,90,88,78,91,88,78,54,68,73,72,65,70,60,80,Medium,Medium,Right,3,5,189509,M,
Thiago Silva,Brazil,Chelsea,Premier League,CB,39,183,79,84,51,54,74,67,87,74,45,55,59,40,83,84,61,60,73,60,61,62,62,65,88,80,86,85,81,90,87,84,77,66,78,74,Medium,High,Right,3,2,164240,M,
Moussa Diaby,France,Aston Villa,Premier League,RM,24,171,67,84,95,73,75,87,42,59,95,95,79,80,80,72,67,48,77,76,42,71,92,93,76,85,75,48,28,48,35,46,56,82,44,67,High,Low,Left,3,4,241852,M,
Luis Díaz,Colombia,Liverpool,Premier League,LW,26,180,73,84,91,81,75,89,34,74,92,91,82,81,76,71,74,63,77,76,58,77,88,75,83,87,83,25,62,28,38,34,80,84,69,70,High,Medium,Right,4,4,241084,M,
Gabriel,Brazil,Arsenal,Premier League,CB,26,190,87,84,70,41,62,52,85,82,61,77,44,37,78,74,28,40,59,38,27,47,51,37,85,71,74,86,85,85,84,85,86,71,86,85,Medium,High,Left,2,2,232580,M,
Gabriel Jesus,Brazil,Arsenal,Premier League,ST,26,175,73,84,83,82,75,88,40,77,86,81,88,83,81,66,79,75,79,74,54,76,92,90,88,87,78,32,78,45,30,28,87,82,72,82,High,High,Right,3,4,230666,M,
Bruno Guimarães,Brazil,Newcastle Utd,Premier League,CM,26,182,74,84,71,74,81,85,80,81,69,72,78,72,87,85,66,65,86,70,62,79,77,83,85,85,87,84,64,80,84,79,76,87,78,84,High,High,Right,2,3,247851,M,
Pierre-Emile Højbjerg,Denmark,Spurs,Premier League,CDM,28,187,84,84,55,73,78,79,81,82,56,54,69,68,84,84,64,56,75,68,74,70,62,65,85,80,85,83,65,84,85,73,72,87,78,88,High,High,Right,4,3,213648,M,
Reece James,England,Chelsea,Premier League,RB,24,178,87,84,80,72,83,83,82,81,78,81,78,69,83,78,67,62,82,88,76,83,72,88,83,82,84,79,77,82,85,80,89,77,84,77,High,Medium,Right,3,3,238074,M,
James Maddison,England,Spurs,Premier League,CAM,27,175,73,84,71,81,86,86,54,63,78,66,84,80,86,85,77,74,88,83,86,86,84,83,80,88,88,44,35,59,65,42,58,78,53,70,High,Medium,Right,4,4,220697,M,
Gabriel Martinelli,Brazil,Arsenal,Premier League,LW,22,178,75,84,89,78,76,89,46,72,91,88,82,83,79,65,78,62,79,79,68,74,87,81,82,84,79,39,72,44,44,43,82,82,63,80,High,High,Right,3,4,251566,M,
Lisandro Martínez,Argentina,Manchester Utd,Premier League,CB,25,178,77,84,73,59,78,76,85,83,77,70,62,52,83,83,56,55,76,75,55,77,77,82,85,81,87,85,75,86,87,84,85,81,80,91,Medium,High,Left,3,3,239301,M,
Nick Pope,England,Newcastle Utd,Premier League,GK,31,199,76,84,82,83,75,15,49,84,50,47,13,14,32,52,14,22,50,11,12,13,36,42,80,25,63,23,11,19,15,14,71,37,75,36,Medium,Medium,Right,3,1,203841,M,86
Aaron Ramsdale,England,Arsenal,Premier League,GK,25,191,77,84,84,79,87,18,48,81,47,50,18,14,56,57,16,25,65,15,16,17,53,49,83,36,65,24,15,20,16,15,65,35,59,35,Medium,Medium,Right,3,1,233934,M,86
Kyle Walker,England,Manchester City,Premier League,RB,33,183,83,84,90,63,77,79,79,81,85,94,68,51,81,81,57,63,69,77,71,76,66,69,85,81,75,78,72,75,85,83,87,81,80,84,High,High,Right,2,3,188377,M,
Sven Botman,Holland,Newcastle Utd,Premier League,CB,23,193,81,83,65,37,63,63,84,84,53,75,45,24,79,76,27,37,59,43,28,47,57,34,83,74,77,82,81,85,84,84,84,70,90,86,Medium,High,Left,3,2,251809,M,
Christian Eriksen,Denmark,Manchester Utd,Premier League,CM,31,181,76,83,59,77,89,77,51,53,62,57,75,72,90,90,80,72,90,88,87,89,68,72,81,90,88,52,52,55,57,22,57,74,50,35,Medium,Medium,Right,5,4,190460,M,
Enzo Fernández,Argentina,Chelsea,Premier League,CM,22,178,76,83,73,73,81,78,75,79,77,70,79,66,86,88,75,70,86,66,69,77,76,77,81,83,80,74,66,77,77,74,79,85,75,82,High,High,Right,4,3,247090,M,
Jorginho,Italy,Arsenal,Premier League,CDM,31,178,68,83,53,67,84,79,74,73,63,45,69,65,89,88,68,89,84,75,76,75,72,72,82,87,84,80,56,71,80,70,66,86,66,77,Medium,Medium,Right,3,3,205498,M,
Pau Torres,Spain,Aston Villa,Premier League,CB,26,191,80,83,72,38,68,64,84,81,69,75,42,28,80,78,41,42,67,55,28,45,67,52,80,80,73,83,85,84,85,83,87,80,81,79,Medium,High,Left,3,2,241464,M,
Cody Gakpo,Holland,Liverpool,Premier League,CF,24,189,76,83,85,82,78,86,42,73,87,84,81,83,78,70,75,68,79,83,76,78,80,71,81,85,83,39,68,43,38,28,84,76,76,60,Medium,Medium,Right,4,4,242516,M,
Hugo Lloris,France,Spurs,Premier League,GK,36,188,82,83,85,80,70,12,60,81,61,59,9,10,52,55,15,40,57,13,10,12,54,56,81,29,55,25,9,24,12,18,60,41,43,31,Medium,Medium,Left,1,1,167948,M,86
Palhinha,Portugal,Fulham,Premier League,CDM,28,190,85,83,62,67,71,77,84,89,58,66,68,64,78,79,54,56,71,59,45,65,63,50,79,80,83,81,78,83,87,86,84,87,89,94,Medium,High,Right,4,2,229391,M,
William Saliba,France,Arsenal,Premier League,CB,22,193,85,83,82,39,69,72,84,82,77,86,43,35,83,76,34,47,62,58,35,55,50,59,84,81,81,82,72,85,87,83,87,70,87,83,Medium,High,Right,3,2,243715,M,
Luke Shaw,England,Manchester Utd,Premier League,LB,28,181,75,83,76,57,82,78,81,78,74,77,78,46,84,77,65,38,80,85,67,86,71,74,81,83,84,83,76,81,83,79,84,75,77,85,Medium,Medium,Left,2,3,205988,M,
Raheem Sterling,England,Chelsea,Premier League,LW,29,170,69,83,85,78,76,86,45,67,90,80,87,79,77,67,67,73,76,78,74,80,94,93,86,81,77,30,46,47,53,45,71,77,65,59,High,Medium,Right,3,4,202652,M,
Manuel Akanji,Switzerland,Manchester City,Premier League,CB,28,187,91,82,77,48,70,71,83,78,75,79,37,38,82,80,42,40,65,55,59,54,66,67,82,75,78,82,79,83,85,82,87,71,80,77,Medium,Medium,Right,4,2,229237,M,
Joelinton,Brazil,Newcastle Utd,Premier League,CM,27,186,81,82,78,71,76,84,81,88,72,82,80,73,83,78,60,61,83,71,38,58,68,73,83,85,82,83,82,79,83,76,91,88,87,88,High,High,Right,3,3,223334,M,
Rodrigo Bentancur,Uruguay,Spurs,Premier League,CM,26,187,73,82,70,67,81,85,79,77,70,70,72,66,85,83,71,67,83,76,68,71,70,76,79,85,86,82,65,79,83,78,74,86,72,78,Medium,High,Right,4,4,227535,M,
Mark Flekken,Holland,Brentford,Premier League,GK,30,195,87,82,81,74,83,12,31,81,28,36,14,16,39,42,14,23,43,14,12,19,34,38,82,34,39,12,11,15,13,20,63,28,72,32,Medium,Medium,Right,4,1,211738,M,85
Joško Gvardiol,Croatia,Manchester City,Premier League,CB,21,185,80,82,78,54,69,75,82,83,80,76,58,42,76,74,54,61,65,61,59,59,68,67,79,76,75,82,78,81,84,84,90,79,83,86,High,High,Left,4,3,251517,M,
Kai Havertz,Germany,Arsenal,Premier League,CAM,24,190,82,82,78,79,79,84,45,68,75,81,83,81,83,79,80,73,81,74,53,84,75,68,83,85,84,38,80,39,46,38,82,77,69,52,Medium,Medium,Left,4,4,235790,M,
Mateo Kovačić,Croatia,Manchester City,Premier League,CM,29,177,80,82,69,69,82,87,71,70,76,64,73,61,89,84,76,59,82,73,70,78,86,84,83,88,84,76,42,73,75,68,64,75,65,77,High,High,Right,4,4,207410,M,
Alexis Mac Allister,Argentina,Liverpool,Premier League,CM,24,176,72,82,70,79,82,84,70,72,73,67,79,79,84,81,74,81,84,79,82,83,76,76,82,83,83,66,61,73,73,65,73,86,69,64,Medium,Medium,Right,3,3,239837,M,
Darwin Núñez,Uruguay,Liverpool,Premier League,ST,24,187,80,82,90,81,71,76,43,85,88,92,86,81,72,68,78,78,76,68,61,75,78,66,84,76,79,41,79,38,41,34,94,88,85,80,High,High,Right,3,3,253072,M,
Jordan Pickford,England,Everton,Premier League,GK,29,185,77,82,83,77,87,14,51,80,56,44,18,19,58,60,20,45,69,17,16,18,57,55,77,40,65,24,15,21,20,12,72,42,70,45,Medium,Medium,Left,4,1,204935,M,87
Cristian Romero,Argentina,Spurs,Premier League,CB,25,185,79,82,70,46,59,60,84,80,72,69,43,48,74,64,52,40,50,42,38,54,67,65,83,68,82,83,82,85,84,83,88,71,81,89,Medium,High,Right,2,3,232488,M,
Jadon Sancho,England,Manchester Utd,Premier League,LW,23,180,76,82,78,70,80,89,33,47,81,75,82,76,85,68,80,74,84,77,65,84,89,89,78,86,85,36,38,30,34,28,56,66,45,25,Medium,Medium,Right,3,5,233049,M,
Fabian Schär,Switzerland,Newcastle Utd,Premier League,CB,31,188,84,82,54,68,75,73,84,77,52,55,62,60,81,84,61,75,74,65,68,66,53,62,83,77,81,85,82,84,84,80,81,71,80,78,High,High,Right,3,2,210047,M,
Dominik Szoboszlai,Hungary,Liverpool,Premier League,CAM,23,186,74,82,83,82,84,83,34,64,78,87,79,77,83,81,85,79,84,85,87,90,80,68,80,83,82,32,58,35,30,25,73,74,67,40,Medium,Medium,Right,4,4,236772,M,
Youri Tielemans,Belgium,Aston Villa,Premier League,CM,26,176,72,82,50,79,85,78,69,69,55,46,76,74,88,86,79,75,86,80,78,83,62,75,80,84,85,68,65,68,71,67,66,82,65,64,Medium,Medium,Right,5,4,216393,M,
Guglielmo Vicario,Italy,Spurs,Premier League,GK,27,188,76,82,83,81,79,12,34,83,34,35,8,6,27,27,7,13,69,11,10,14,40,33,64,14,55,15,11,23,11,13,57,18,53,17,Medium,Medium,Right,1,1,240091,M,85
Callum Wilson,England,Newcastle Utd,Premier League,ST,31,180,66,82,80,82,67,77,42,76,78,82,87,86,73,62,78,85,70,61,52,63,75,72,85,82,80,40,79,39,40,27,87,73,77,74,High,Medium,Right,3,3,196978,M,
Nathan Aké,Holland,Manchester City,Premier League,CB,28,180,75,81,75,53,72,73,82,77,78,72,51,48,81,75,52,53,66,63,59,64,67,68,81,78,78,79,80,83,84,82,88,71,78,78,Medium,High,Left,3,2,208920,M,
Miguel Almirón,Paraguay,Newcastle Utd,Premier League,RW,29,174,70,81,87,77,75,83,56,64,89,86,82,79,79,68,75,69,78,73,68,78,86,69,82,80,79,58,43,59,59,49,63,86,52,69,High,High,Left,2,4,230977,M,
Edson Álvarez,Mexico,West Ham,Premier League,CDM,26,187,73,81,68,58,68,68,82,87,67,68,56,57,77,74,63,65,65,64,40,42,60,68,77,75,74,83,82,82,83,79,81,90,86,86,Low,High,Right,3,2,235844,M,
Ben Chilwell,England,Chelsea,Premier League,LB,26,180,77,81,74,60,78,79,77,73,76,73,78,58,80,74,65,52,75,84,67,71,69,71,80,81,75,76,69,78,79,80,77,80,69,73,High,Medium,Left,3,3,229984,M,
Lucas Paquetá,Brazil,West Ham,Premier League,CAM,26,180,72,81,72,77,79,86,69,76,71,73,80,78,82,78,74,75,82,72,74,77,75,76,81,85,88,71,68,67,72,63,77,79,75,76,High,High,Left,4,5,233927,M,
Arnaut Danjuma,Holland,Everton,Premier League,ST,26,178,74,81,86,81,76,84,44,67,84,88,82,83,80,66,70,75,77,77,59,79,83,75,85,83,77,32,72,35,52,47,84,65,72,55,High,Medium,Right,4,4,236276,M,
Lewis Dunk,England,Brighton,Premier League,CB,32,192,88,81,45,51,66,64,82,80,36,53,30,42,82,82,24,36,63,32,69,52,40,38,82,76,82,81,81,83,83,79,77,70,84,83,Medium,High,Right,3,2,199915,M,
Beto,Portugal,Everton,Premier League,ST,25,194,88,81,86,79,59,77,25,84,82,89,83,83,68,60,76,71,60,40,51,63,63,58,80,77,78,18,78,17,20,21,94,78,91,72,High,Medium,Right,3,3,251892,M,
Alexander Isak,Sweden,Newcastle Utd,Premier League,ST,24,192,77,81,83,81,72,86,39,72,82,84,83,83,78,59,79,75,79,66,65,70,81,73,81,86,83,38,75,35,34,29,86,74,75,58,High,Medium,Right,5,4,233731,M,
Ibrahima Konaté,France,Liverpool,Premier League,CB,24,194,95,81,77,34,57,68,82,82,67,85,37,29,75,69,28,41,51,38,27,32,60,52,78,70,76,81,78,80,85,81,81,65,90,82,Medium,High,Right,2,3,237678,M,
Dejan Kulusevski,Sweden,Spurs,Premier League,RW,23,186,75,81,76,77,80,86,56,75,76,76,78,76,82,72,80,65,83,85,61,85,79,69,81,85,82,54,52,50,64,55,72,84,73,67,High,Medium,Left,3,4,247394,M,
Bernd Leno,Germany,Fulham,Premier League,GK,31,189,83,81,82,79,73,16,54,82,55,52,7,9,50,48,10,23,58,9,8,9,52,44,75,35,63,25,13,27,15,18,71,44,70,28,Medium,Medium,Right,3,1,192563,M,83
Giovani Lo Celso,Argentina,Spurs,Premier League,CAM,27,177,68,81,70,75,83,85,68,73,72,69,75,73,84,83,71,65,85,78,79,82,81,80,82,85,83,70,62,64,73,68,73,74,69,82,High,Medium,Left,3,4,226226,M,
Antony,Brazil,Manchester Utd,Premier League,RW,23,172,63,81,83,76,74,86,46,73,89,78,76,76,74,62,67,66,75,79,74,86,93,88,82,88,82,50,45,49,45,31,70,84,62,85,High,High,Left,2,5,255475,M,
Mason Mount,England,Manchester Utd,Premier League,CAM,24,181,74,81,72,79,82,81,56,67,75,70,79,78,83,83,75,69,80,83,84,82,73,75,81,82,82,59,59,56,59,42,68,83,58,68,High,High,Right,4,3,233064,M,
Pedro Porro,Spain,Spurs,Premier League,RB,24,173,69,81,82,73,77,81,74,77,80,84,80,68,76,74,60,66,77,82,67,78,78,71,78,83,78,75,69,72,78,75,80,91,71,74,High,Medium,Right,3,3,243576,M,
Ibrahim Sangaré,Côte d'Ivoire,Nott'm Forest,Premier League,CDM,26,191,77,81,66,66,74,76,81,86,69,64,68,61,79,77,62,64,74,66,62,64,64,76,79,75,76,84,71,83,82,78,78,87,91,75,Medium,High,Right,4,3,235173,M,
Diego Carlos,Brazil,Aston Villa,Premier League,CB,30,186,79,81,67,47,63,65,81,77,63,71,52,32,76,74,34,41,63,35,71,47,62,47,81,71,75,82,79,83,80,81,86,50,87,85,Medium,High,Right,4,3,219693,M,
Leandro Trossard,Belgium,Arsenal,Premier League,CF,29,171,67,81,81,80,78,83,30,61,88,75,80,81,79,77,78,75,79,78,69,83,92,85,79,83,83,18,65,30,31,18,75,76,57,47,High,Medium,Right,4,4,207421,M,
Odisseas Vlachodimos,Greece,Nott'm Forest,Premier League,GK,29,190,81,81,84,77,66,13,43,78,42,44,14,12,27,24,14,18,46,15,13,17,64,38,81,23,56,23,13,17,14,12,72,39,68,32,Medium,Medium,Right,3,1,211990,M,84
Julián Álvarez,Argentina,Manchester City,Premier League,ST,23,170,71,80,79,81,76,82,55,76,81,77,82,82,76,74,76,73,78,75,74,80,87,87,80,84,82,46,69,60,53,46,79,79,70,84,High,High,Right,4,4,246191,M,
Sofyan Amrabat,Morocco,Manchester Utd,Premier League,CDM,27,185,75,80,68,71,77,78,74,80,69,68,70,70,84,77,68,57,78,68,65,69,64,82,78,84,84,74,61,77,78,70,76,81,80,79,Low,High,Right,2,3,224158,M,
Harvey Barnes,England,Newcastle Utd,Premier League,LW,26,185,72,80,85,77,75,81,43,69,84,85,81,78,78,69,68,54,80,72,69,76,78,77,83,82,77,43,46,44,43,40,72,74,72,53,High,Low,Right,4,3,234742,M,
Emiliano Buendía,Argentina,Aston Villa,Premier League,RM,26,172,72,80,69,74,81,83,66,71,74,65,75,74,83,79,68,62,85,78,74,81,80,87,77,84,77,60,75,67,68,61,78,74,63,83,High,High,Right,4,4,226162,M,
Moisés Caicedo,Ecuador,Chelsea,Premier League,CDM,22,178,71,80,74,63,72,73,77,74,77,71,68,58,85,76,52,54,74,53,54,51,74,75,76,83,79,79,57,78,81,78,73,82,70,73,High,High,Right,3,3,256079,M,
Diogo Dalot,Portugal,Manchester Utd,Premier League,RB,24,184,76,80,81,61,76,80,75,79,75,86,77,52,80,72,44,47,78,77,52,79,77,71,78,78,77,76,74,73,77,77,83,82,76,81,High,High,Right,4,4,234574,M,
Richarlison,Brazil,Spurs,Premier League,ST,26,184,71,80,77,79,72,84,53,78,79,76,81,81,77,61,78,77,74,73,65,74,81,65,80,82,82,46,82,43,58,48,89,77,75,84,High,Medium,Right,5,4,231943,M,
Wataru Endo,Japan,Liverpool,Premier League,CM,30,178,77,80,67,68,73,80,79,75,73,62,68,67,83,78,36,62,78,58,49,45,74,83,82,82,83,79,78,81,79,72,81,91,66,76,High,Medium,Right,4,3,232487,M,
Pervis Estupiñán,Ecuador,Brighton,Premier League,LB,25,175,78,80,77,47,71,77,77,75,78,77,64,48,80,64,38,69,60,81,36,62,74,73,74,78,69,76,75,73,81,79,84,76,73,74,High,Medium,Left,3,3,237942,M,
Boubacar Kamara,France,Aston Villa,Premier League,CDM,24,184,68,80,68,54,72,71,80,79,66,70,52,47,79,77,28,63,72,64,47,59,66,65,75,77,84,84,72,79,82,80,79,82,77,78,Low,Medium,Right,3,3,236987,M,
Victor Lindelöf,Sweden,Manchester Utd,Premier League,CB,29,187,80,80,59,51,73,70,81,76,54,63,51,42,80,82,38,60,72,62,53,67,62,60,80,77,83,83,76,83,81,78,78,69,78,79,Medium,Medium,Right,4,3,221660,M,
Anthony Martial,France,Manchester Utd,Premier League,ST,28,184,76,80,80,78,73,87,35,66,82,79,78,79,78,60,76,80,77,70,54,84,79,77,78,85,82,34,70,26,33,31,82,57,74,54,Medium,Low,Right,4,4,211300,M,
Joel Matip,Cameroon,Liverpool,Premier League,CB,32,194,90,80,61,46,67,73,81,77,52,69,48,36,76,72,50,42,72,54,23,63,53,42,81,73,79,80,83,81,82,80,81,67,80,82,Medium,Medium,Right,2,2,197061,M,
Kaoru Mitoma,Japan,Brighton,Premier League,LM,26,178,71,80,84,73,74,88,57,65,89,79,75,79,78,59,69,63,80,74,62,71,89,78,75,84,77,57,52,56,59,54,73,75,62,58,Medium,Medium,Right,4,4,255565,M,
Álex Moreno,Spain,Aston Villa,Premier League,LB,30,179,68,80,87,69,73,77,76,70,85,88,74,73,77,68,65,70,72,78,57,69,83,79,75,77,60,76,63,77,78,75,76,89,60,69,High,Medium,Left,3,3,217036,M,
David Raya,Spain,Arsenal,Premier League,GK,28,183,75,80,80,78,82,19,57,80,64,46,15,19,58,63,20,26,67,12,15,18,68,45,73,40,65,11,20,28,14,13,61,31,38,29,Medium,Medium,Right,3,1,220901,M,82
Aaron Wan-Bissaka,England,Manchester Utd,Premier League,RB,26,183,72,80,83,50,68,80,77,71,78,87,70,44,75,58,43,44,65,70,45,73,80,69,79,73,77,83,50,73,82,90,70,75,68,74,Medium,High,Right,2,3,229880,M,
Ollie Watkins,England,Aston Villa,Premier League,ST,27,180,70,80,84,79,68,76,46,75,77,89,82,84,72,59,68,67,74,67,56,63,79,72,81,74,74,44,81,40,46,36,89,88,77,52,High,High,Right,4,3,221697,M,
Benjamin White,England,Arsenal,Premier League,RB,26,185,77,80,72,30,70,74,82,77,70,73,51,22,82,80,21,24,73,58,20,45,66,58,82,77,80,83,74,82,83,80,81,78,76,78,Medium,High,Right,4,2,231936,M,
Nicolò Zaniolo,Italy,Aston Villa,Premier League,RM,24,190,79,80,83,78,72,81,51,86,79,86,85,78,75,71,60,60,76,68,60,71,77,76,82,83,74,60,64,26,63,58,79,77,90,89,High,Low,Left,3,4,238067,M,
Oleksandr Zinchenko,Ukraine,Arsenal,Premier League,LB,27,175,64,80,66,66,83,83,78,69,72,61,77,58,86,83,61,58,82,83,76,82,78,78,81,85,83,79,70,78,81,79,74,75,63,75,High,Medium,Left,3,3,227813,M,
Nayef Aguerd,Morocco,West Ham,Premier League,CB,27,190,76,79,71,50,64,58,81,75,61,80,52,40,74,75,41,48,60,48,41,55,58,49,79,74,72,81,81,79,83,78,83,69,76,77,Medium,Medium,Left,3,2,244749,M,
