ID,Name,Nation,Club,League,Position,Age,Height,Weight,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Att work rate,Def work rate,Preferred foot,Skill moves,Weak foot,Gender
241721,Rafael Leão,Portugal,Milan,Serie A TIM,LW,24,188,81,86,93,80,75,87,27,76,Medium,Low,Right,4,4,M
251854,Pedri,Spain,FC Barcelona,LALIGA EA SPORTS,CM,21,174,60,86,78,69,82,88,70,74,High,High,Right,4,4,M
235243,Matthijs de Ligt,Holland,FC Bayern München,Bundesliga,CB,24,189,89,86,66,61,64,68,85,86,Medium,High,Right,2,3,M
241096,Sandro Tonali,Italy,Newcastle Utd,Premier League,CDM,23,181,79,86,84,74,81,81,82,84,Medium,High,Right,3,4,M
204485,Riyad Mahrez,Algeria,Al Ahli,ROSHN Saudi League,RM,32,179,67,86,79,81,81,89,38,60,Medium,Medium,Left,5,4,M
256790,Jamal Musiala,Germany,FC Bayern München,Bundesliga,CAM,20,184,72,86,85,75,76,91,63,61,Medium,Medium,Right,5,4,M
224232,Nicolò Barella,Italy,Inter,Serie A TIM,CM,26,175,68,86,78,78,82,85,78,80,High,High,Right,3,3,M
253163,Ronald Araujo,Uruguay,FC Barcelona,LALIGA EA SPORTS,CB,24,188,79,86,79,51,65,62,86,84,Medium,High,Right,2,3,M
211110,Paulo Dybala,Argentina,Roma FC,Serie A TIM,CF,30,177,75,86,80,85,85,90,40,60,High,Low,Left,4,3,M
186942,İlkay Gündoğan,Germany,FC Barcelona,LALIGA EA SPORTS,CM,33,180,80,86,62,81,84,86,72,73,High,Medium,Right,4,4,M
223848,Sergej Milinković-Savić,Serbia,Al Hilal,ROSHN Saudi League,CM,28,192,95,86,68,80,82,82,79,86,High,Medium,Right,4,5,M
247635,Khvicha Kvaratskhelia,Georgia,Napoli FC,Serie A TIM,LW,22,183,70,86,84,80,81,87,41,71,Medium,Medium,Right,5,5,M
216267,Andrew Robertson,Scotland,Liverpool,Premier League,LB,29,178,64,86,80,61,82,81,81,77,High,High,Left,3,2,M
189513,Parejo,Spain,Villarreal CF,LALIGA EA SPORTS,CM,34,182,74,86,49,83,90,80,73,69,Medium,Medium,Right,3,4,M
208722,Sadio Mané,Senegal,Al Nassr,ROSHN Saudi League,CF,31,174,69,86,85,83,79,87,44,74,Medium,Medium,Right,4,4,M
182521,Toni Kroos,Germany,Real Madrid,LALIGA EA SPORTS,CM,33,183,76,86,51,80,90,81,70,71,Medium,Medium,Right,3,5,M
240130,Éder Militão,Brazil,Real Madrid,LALIGA EA SPORTS,CB,25,186,78,86,85,50,69,71,86,82,Medium,High,Right,2,3,M
232411,Christopher Nkunku,France,Chelsea,Premier League,CF,26,175,73,86,82,81,83,88,62,67,Medium,Medium,Right,5,3,M
215914,N'Golo Kanté,France,Al Ittihad,ROSHN Saudi League,CDM,32,168,70,86,69,65,73,80,85,77,Medium,High,Right,2,3,M
210514,João Cancelo,Portugal,FC Barcelona,LALIGA EA SPORTS,LB,29,182,74,86,81,73,85,84,80,72,High,Low,Right,4,4,M
/20801,Cristiano Ronaldo,Portugal,Al Nassr,ROSHN Saudi League,ST,38,187,85,86,77,88,75,80,34,74,High,Low,Right,5,4,M
231281,Trent Alexander-Arnold,England,Liverpool,Premier League,RB,25,180,69,86,76,69,90,79,80,73,High,Medium,Right,3,4,M
186153,Wojciech Szczęsny,Poland,Juventus,Serie A TIM,GK,33,195,90,86,86,83,73,87,49,86,Medium,Medium,Right,1,3,M
206517,Jack Grealish,England,Manchester City,Premier League,LW,28,180,81,85,76,76,84,88,53,73,High,High,Right,4,3,M
224334,Marcos Acuña,Argentina,Sevilla FC,LALIGA EA SPORTS,LB,32,172,69,85,75,74,83,83,81,84,High,High,Left,3,3,M
197445,David Alaba,Austria,Real Madrid,LALIGA EA SPORTS,CB,31,180,78,85,79,71,83,80,85,77,Medium,High,Left,3,4,M
192629,Iago Aspas,Spain,RC Celta,LALIGA EA SPORTS,ST,36,176,67,85,81,85,79,86,35,64,High,High,Left,3,4,M
237383,Alessandro Bastoni,Italy,Inter,Serie A TIM,CB,24,190,75,85,73,35,72,73,86,83,Medium,High,Left,2,3,M
210935,Domenico Berardi,Italy,Sassuolo,Serie A TIM,RW,29,183,72,85,82,83,81,87,36,72,High,Medium,Left,4,3,M
209981,Yassine Bounou,Morocco,Al Hilal,ROSHN Saudi League,GK,32,195,78,85,82,83,79,87,38,84,Medium,Medium,Left,1,2,M
208128,Hakan Çalhanoğlu,Turkey,Inter,Serie A TIM,CM,29,178,76,85,67,80,86,85,70,66,High,Medium,Right,4,4,M
213345,Kingsley Coman,France,FC Bayern München,Bundesliga,LM,27,181,75,85,89,76,79,87,30,62,Medium,Medium,Right,5,3,M
217870,Giovanni Di Lorenzo,Italy,Napoli FC,Serie A TIM,RB,30,183,83,85,85,67,75,79,82,82,High,Medium,Right,3,3,M
237692,Phil Foden,England,Manchester City,Premier League,LW,23,171,69,85,81,79,82,88,57,60,High,High,Left,4,3,M
209658,Leon Goretzka,Germany,FC Bayern München,Bundesliga,CM,28,189,82,85,78,81,81,83,80,86,High,Medium,Right,3,4,M
232656,Theo Hernández,France,Milan,Serie A TIM,LB,26,184,81,85,93,71,76,81,78,84,High,Medium,Left,3,3,M
192387,Ciro Immobile,Italy,Latium,Serie A TIM,ST,33,185,85,85,85,87,68,78,39,74,High,Medium,Right,3,4,M
241486,Jules Koundé,France,FC Barcelona,LALIGA EA SPORTS,CB,25,180,75,85,84,45,68,75,86,80,High,High,Right,3,3,M
212218,Aymeric Laporte,Spain,Al Nassr,ROSHN Saudi League,CB,29,191,85,85,61,50,73,69,86,78,Medium,Medium,Left,2,3,M
202811,Emiliano Martínez,Argentina,Aston Villa,Premier League,GK,31,195,88,85,83,83,82,85,58,84,Medium,Medium,Right,1,4,M
193041,Keylor Navas,Costa Rica,Paris SG,Ligue 1 Uber Eats,GK,37,185,80,85,84,80,75,87,54,84,Medium,Medium,Right,1,3,M
226753,André Onana,Cameroon,Manchester Utd,Premier League,GK,27,190,93,85,83,80,88,85,61,84,Medium,Medium,Right,1,3,M
209989,Thomas Partey,Ghana,Arsenal,Premier League,CDM,30,185,77,85,68,71,82,80,81,82,Medium,High,Right,3,3,M
231677,Marcus Rashford,England,Manchester Utd,Premier League,LW,26,186,70,85,90,86,78,84,42,74,High,Low,Right,5,3,M
234378,Declan Rice,England,Arsenal,Premier League,CDM,24,185,80,85,71,65,75,77,83,83,Medium,High,Right,2,3,M
205452,Antonio Rüdiger,Germany,Real Madrid,LALIGA EA SPORTS,CB,30,190,85,85,82,54,71,66,84,86,High,High,Right,2,3,M
243812,Rodrygo,Brazil,Real Madrid,LALIGA EA SPORTS,RW,22,174,64,85,88,81,79,86,31,62,Medium,Medium,Right,4,4,M
203574,John Stones,England,Manchester City,Premier League,CB,29,188,76,85,72,52,75,77,85,77,High,Medium,Right,3,4,M
224458,Diogo Jota,Portugal,Liverpool,Premier League,CF,27,178,68,85,82,82,75,85,57,77,High,High,Right,4,5,M
188943,Kevin Trapp,Germany,Frankfurt,Bundesliga,GK,33,189,84,85,83,81,77,86,46,85,Medium,Medium,Right,1,4,M
186345,Kieran Trippier,England,Newcastle Utd,Premier League,RB,33,173,71,85,68,65,86,79,82,72,Medium,Medium,Right,3,4,M
201535,Raphaël Varane,France,Manchester Utd,Premier League,CB,30,191,81,85,79,49,64,67,86,78,Medium,High,Right,2,4,M
256630,Florian Wirtz,Germany,Leverkusen,Bundesliga,CAM,20,176,72,85,74,76,83,87,52,63,High,Medium,Right,4,4,M
189509,Thiago,Spain,Liverpool,Premier League,CM,32,174,70,84,61,72,86,89,71,67,Medium,Medium,Right,5,3,M
226754,Ismaël Bennacer,Algeria,Milan,Serie A TIM,CDM,26,175,70,84,80,72,81,86,79,78,High,Medium,Left,4,3,M
212194,Julian Brandt,Germany,Borussia Dortmund,Bundesliga,CAM,27,185,83,84,71,80,84,86,51,70,Medium,Medium,Right,4,4,M
208418,Yannick Carrasco,Belgium,Al Shabab,ROSHN Saudi League,LM,30,181,73,84,88,81,80,85,59,66,High,High,Right,4,4,M
192984,Koen Casteels,Belgium,VfL Wolfsburg,Bundesliga,GK,31,197,86,84,84,82,77,86,45,85,Medium,Medium,Left,1,2,M
235805,Federico Chiesa,Italy,Juventus,Serie A TIM,LM,26,175,70,84,91,82,76,86,53,75,High,Medium,Right,4,4,M
164240,Thiago Silva,Brazil,Chelsea,Premier League,CB,39,183,79,84,51,54,74,72,87,74,Medium,High,Right,2,3,M
224293,Rúben Neves,Portugal,Al Hilal,ROSHN Saudi League,CDM,26,183,83,84,60,75,86,77,76,73,Medium,High,Right,3,4,M
212616,Rodrigo Javier De Paul,Argentina,Atlético de Madrid,LALIGA EA SPORTS,CM,29,180,70,84,78,77,83,82,75,83,High,Medium,Right,4,3,M
202556,Memphis Depay,Holland,Atlético de Madrid,LALIGA EA SPORTS,CF,29,176,78,84,82,82,81,85,30,80,High,Low,Right,5,3,M
241852,Moussa Diaby,France,Aston Villa,Premier League,RM,24,171,67,84,95,73,75,86,42,59,High,Low,Left,4,3,M
233419,Raphinha,Brazil,FC Barcelona,LALIGA EA SPORTS,RW,27,176,68,84,91,79,78,86,53,73,High,High,Left,4,4,M
241084,Luis Díaz,Colombia,Liverpool,Premier League,LW,26,180,73,84,91,81,75,87,34,74,High,Medium,Right,4,4,M
232580,Gabriel,Brazil,Arsenal,Premier League,CB,26,190,87,84,70,41,62,60,85,82,Medium,High,Left,2,2,M
230666,Gabriel Jesus,Brazil,Arsenal,Premier League,ST,26,175,73,84,83,82,75,88,40,77,High,High,Right,4,3,M
207862,Matthias Ginter,Germany,SC Freiburg,Bundesliga,CB,29,189,86,84,60,59,71,66,85,80,High,Medium,Right,2,3,M
206113,Serge Gnabry,Germany,FC Bayern München,Bundesliga,RM,28,176,77,84,81,84,78,84,43,68,Medium,Medium,Right,4,4,M
210035,Grimaldo,Spain,Leverkusen,Bundesliga,LWB,28,171,67,84,87,69,83,84,76,72,High,Medium,Left,3,2,M
247851,Bruno Guimarães,Brazil,Newcastle Utd,Premier League,CM,26,182,74,84,71,74,81,84,80,81,High,High,Right,3,2,M
185122,Péter Gulácsi,Hungary,RB Leipzig,Bundesliga,GK,33,191,86,84,85,84,76,84,43,83,Medium,Medium,Right,1,2,M
235212,Achraf Hakimi,Morocco,Paris SG,Ligue 1 Uber Eats,RB,25,181,73,84,92,75,80,80,75,78,High,Low,Right,4,4,M
209499,Fabinho,Brazil,Al Ittihad,ROSHN Saudi League,CDM,30,188,78,84,59,69,78,77,82,82,Medium,High,Right,3,2,M
220814,Lucas Hernández,France,Paris SG,Ligue 1 Uber Eats,CB,27,184,79,84,76,54,70,70,84,78,Medium,Medium,Left,2,2,M
213648,Pierre-Emile Højbjerg,Denmark,Spurs,Premier League,CDM,28,187,84,84,55,73,78,78,81,82,High,High,Right,3,4,M
238074,Reece James,England,Chelsea,Premier League,RB,24,178,87,84,80,72,83,82,82,81,High,Medium,Right,3,3,M
237086,Kim Min Jae,Korea Republic,FC Bayern München,Bundesliga,CB,27,190,86,84,80,33,58,64,85,84,Low,High,Right,2,3,M
237679,Randal Kolo Muani,France,Paris SG,Ligue 1 Uber Eats,ST,25,187,73,84,91,78,73,86,38,67,High,Medium,Right,4,4,M
201024,Kalidou Koulibaly,Senegal,Al Hilal,ROSHN Saudi League,CB,32,186,93,84,76,48,63,68,84,83,Medium,High,Right,2,4,M
226161,Marcos Llorente,Spain,Atlético de Madrid,LALIGA EA SPORTS,RM,28,184,74,84,89,78,79,80,78,81,High,Medium,Right,3,4,M
216435,Stanislav Lobotka,Slovakia,Napoli FC,Serie A TIM,CM,29,170,64,84,71,70,81,83,77,75,Medium,Medium,Right,3,4,M
192505,Romelu Lukaku,Belgium,Roma FC,Serie A TIM,ST,30,191,94,84,80,84,74,77,38,82,Medium,Low,Left,3,4,M
220697,James Maddison,England,Spurs,Premier League,CAM,27,175,73,84,71,81,86,86,54,63,High,Medium,Right,4,4,M
251566,Gabriel Martinelli,Brazil,Arsenal,Premier League,LW,22,178,75,84,89,78,76,86,46,72,High,High,Right,4,3,M
239301,Lisandro Martínez,Argentina,Manchester Utd,Premier League,CB,25,178,77,84,73,59,78,79,85,83,Medium,High,Left,3,3,M
225193,Mikel Merino,Spain,Real Sociedad,LALIGA EA SPORTS,CM,27,189,83,84,72,78,82,82,83,82,High,High,Left,3,3,M
189596,Thomas Müller,Germany,FC Bayern München,Bundesliga,CAM,34,185,76,84,59,82,83,79,55,69,High,High,Right,3,4,M
203841,Nick Pope,England,Newcastle Utd,Premier League,GK,31,199,76,84,82,83,75,86,49,84,Medium,Medium,Right,1,3,M
210008,Adrien Rabiot,France,Juventus,Serie A TIM,CM,28,191,80,84,78,76,80,80,82,84,Medium,Medium,Left,3,3,M
233934,Aaron Ramsdale,England,Arsenal,Premier League,GK,25,191,77,84,84,79,87,86,48,81,Medium,Medium,Right,1,3,M
227127,Álex Remiro,Spain,Real Sociedad,LALIGA EA SPORTS,GK,28,192,79,84,84,78,80,86,42,86,Medium,Medium,Right,1,4,M
193747,Koke,Spain,Atlético de Madrid,LALIGA EA SPORTS,CDM,31,176,75,84,69,72,85,79,79,78,Medium,Medium,Right,3,4,M
198706,Luis Alberto,Spain,Latium,Serie A TIM,CM,31,183,74,84,69,77,85,84,62,58,Medium,Medium,Right,4,3,M
222492,Leroy Sané,Germany,FC Bayern München,Bundesliga,RM,27,183,80,84,91,81,80,85,38,68,Medium,Medium,Left,4,2,M
239580,Bremer,Brazil,Juventus,Serie A TIM,CB,26,188,82,84,80,50,56,65,85,83,Medium,High,Right,2,2,M
232363,Milan Škriniar,Slovakia,Paris SG,Ligue 1 Uber Eats,CB,28,187,80,84,78,41,57,67,86,83,Low,High,Right,2,3,M
189881,Chris Smalling,England,Roma FC,Serie A TIM,CB,34,194,81,84,62,47,58,62,87,82,Medium,High,Right,2,3,M
177683,Yann Sommer,Switzerland,Inter,Serie A TIM,GK,35,183,79,84,78,79,83,90,50,84,Medium,Medium,Right,1,4,M
212190,Niklas Süle,Germany,Borussia Dortmund,Bundesliga,CB,28,195,99,84,73,51,68,62,85,85,Medium,Medium,Right,3,3,M
241637,Aurélien Tchouaméni,France,Real Madrid,LALIGA EA SPORTS,CDM,23,187,81,84,73,69,79,78,81,81,Medium,High,Right,3,3,M
232756,Fikayo Tomori,England,Milan,Serie A TIM,CB,26,185,79,84,86,40,59,66,86,82,Medium,High,Right,2,4,M
188377,Kyle Walker,England,Manchester City,Premier League,RB,33,183,83,84,90,63,77,78,79,81,High,High,Right,3,2,M
199845,Francesco Acerbi,Italy,Inter,Serie A TIM,CB,35,192,88,83,60,50,64,64,86,80,Medium,High,Left,3,3,M
189332,Jordi Alba,Spain,Inter Miami CF,MLS,LB,34,170,68,83,84,70,82,81,76,70,High,Medium,Left,3,3,M
220834,Marco Asensio,Spain,Paris SG,Ligue 1 Uber Eats,RW,27,182,76,83,81,81,81,83,43,63,High,Medium,Left,4,3,M
199451,Wissam Ben Yedder,France,AS Monaco,Ligue 1 Uber Eats,ST,33,170,68,83,80,84,78,87,39,68,High,Low,Right,4,5,M
251809,Sven Botman,Holland,Newcastle Utd,Premier League,CB,23,193,81,83,65,37,63,66,84,84,Medium,High,Left,2,3,M
216352,Marcelo Brozović,Croatia,Al Nassr,ROSHN Saudi League,CDM,31,181,72,83,66,74,81,80,80,78,Medium,Medium,Right,3,4,M
189511,Sergio Busquets,Spain,Inter Miami CF,MLS,CDM,35,189,76,83,37,62,79,79,81,73,Medium,Medium,Right,3,3,M
208333,Emre Can,Germany,Borussia Dortmund,Bundesliga,CDM,29,186,86,83,79,78,77,79,82,87,Medium,High,Right,3,4,M
213661,Andreas Christensen,Denmark,FC Barcelona,LALIGA EA SPORTS,CB,27,187,82,83,67,32,68,71,85,76,Low,Medium,Right,2,3,M
202648,Sergi Darder,Spain,RCD Mallorca,LALIGA EA SPORTS,CM,30,180,71,83,81,76,82,83,74,77,Medium,Medium,Right,3,3,M
234396,Alphonso Davies,Canada,FC Bayern München,Bundesliga,LB,23,185,77,83,95,66,78,84,74,77,High,Low,Left,4,4,M
183898,Ángel Di María,Argentina,SL Benfica,Liga Portugal,CF,35,180,69,83,78,78,86,89,48,67,High,Medium,Left,5,2,M
180930,Edin Džeko,Bosnia and Herzegovina,Fenerbahçe,Trendyol Süper Lig,ST,37,193,80,83,59,84,72,77,45,76,High,Medium,Right,3,5,M
190460,Christian Eriksen,Denmark,Manchester Utd,Premier League,CM,31,181,76,83,59,77,89,81,51,53,Medium,Medium,Right,4,5,M
216594,Nabil Fekir,France,Real Betis,LALIGA EA SPORTS,CAM,30,173,75,83,82,81,81,86,39,80,High,Medium,Left,4,4,M
247090,Enzo Fernández,Argentina,Chelsea,Premier League,CM,22,178,76,83,73,73,81,80,75,79,High,High,Right,3,4,M
200724,Nacho Fernández,Spain,Real Madrid,LALIGA EA SPORTS,CB,33,180,76,83,75,37,69,71,82,80,Low,High,Right,2,4,M
216547,Rafa,Portugal,SL Benfica,Liga Portugal,CF,30,172,66,83,93,77,77,86,50,54,High,Medium,Right,4,3,M
205498,Jorginho,Italy,Arsenal,Premier League,CDM,32,178,68,83,53,67,84,81,74,73,Medium,Medium,Right,3,3,M
241464,Pau Torres,Spain,Aston Villa,Premier League,CB,26,191,80,83,72,38,68,70,84,81,Medium,High,Left,2,3,M
253149,Jeremie Frimpong,Holland,Leverkusen,Bundesliga,RWB,23,171,64,83,94,56,75,84,74,70,High,Medium,Right,3,3,M
242516,Cody Gakpo,Holland,Liverpool,Premier League,CF,24,189,76,83,85,82,78,84,42,73,Medium,Medium,Right,4,4,M
216460,José María Giménez,Uruguay,Atlético de Madrid,LALIGA EA SPORTS,CB,28,185,79,83,71,46,58,61,85,82,Medium,High,Right,2,3,M
205693,Sébastien Haller,Côte d'Ivoire,Borussia Dortmund,Bundesliga,ST,29,191,90,83,62,81,63,76,52,81,Medium,Medium,Right,3,3,M
210324,Jonas Hofmann,Germany,Leverkusen,Bundesliga,CAM,31,176,73,83,76,79,83,81,64,73,High,Medium,Right,3,4,M
178603,Mats Hummels,Germany,Borussia Dortmund,Bundesliga,CB,35,191,94,83,53,58,76,70,86,78,Medium,Medium,Right,2,3,M
224179,Borja Iglesias,Spain,Real Betis,LALIGA EA SPORTS,ST,30,187,86,83,69,84,66,76,40,82,High,Medium,Right,3,3,M
208574,Filip Kostić,Serbia,Juventus,Serie A TIM,LM,31,184,84,83,85,76,82,82,70,80,High,High,Left,3,2,M
193301,Alexandre Lacazette,France,OL,Ligue 1 Uber Eats,ST,32,175,73,83,72,84,77,83,44,77,High,High,Right,4,4,M
225375,Konrad Laimer,Austria,FC Bayern München,Bundesliga,CDM,26,180,72,83,80,69,77,78,81,79,Medium,High,Right,3,3,M
167948,Hugo Lloris,France,Spurs,Premier League,GK,37,188,82,83,85,80,70,86,60,81,Medium,Medium,Left,1,1,M
229582,Gianluca Mancini,Italy,Roma FC,Serie A TIM,CB,27,190,77,83,67,45,54,62,83,86,Medium,High,Right,2,3,M
225116,Alex Meret,Italy,Napoli FC,Serie A TIM,GK,26,190,83,83,83,80,72,86,44,83,Medium,Medium,Left,1,3,M
201153,Morata,Spain,Atlético de Madrid,LALIGA EA SPORTS,ST,31,190,84,83,82,82,72,79,31,79,Medium,Medium,Right,3,4,M
208093,Gerard Moreno,Spain,Villarreal CF,LALIGA EA SPORTS,ST,31,180,77,83,77,85,77,81,46,72,High,Medium,Left,3,4,M
244260,Dani Olmo,Spain,RB Leipzig,Bundesliga,CAM,25,179,72,83,68,76,82,86,50,59,Medium,High,Right,4,4,M
204638,Willi Orban,Hungary,RB Leipzig,Bundesliga,CB,31,186,87,83,58,36,56,56,85,81,Low,Medium,Right,2,3,M
230142,Oyarzabal,Spain,Real Sociedad,LALIGA EA SPORTS,LM,26,181,79,83,77,83,80,83,41,62,High,Medium,Left,3,3,M
264240,Gavi,Spain,FC Barcelona,LALIGA EA SPORTS,CM,19,173,70,83,76,66,78,85,68,70,High,High,Right,3,3,M
229391,Palhinha,Portugal,Fulham,Premier League,CDM,28,190,85,83,62,67,71,76,84,89,Medium,High,Right,2,4,M
226851,Benjamin Pavard,France,Inter,Serie A TIM,CB,27,186,81,83,70,62,73,72,85,78,Medium,Medium,Right,3,3,M
228251,Lorenzo Pellegrini,Italy,Roma FC,Serie A TIM,CAM,27,186,77,83,79,76,83,83,74,78,High,High,Right,3,4,M
188350,Marco Reus,Germany,Borussia Dortmund,Bundesliga,CAM,34,180,71,83,65,83,83,85,53,63,Medium,Medium,Right,4,4,M
225659,Guido Rodríguez,Argentina,Real Betis,LALIGA EA SPORTS,CDM,28,185,80,83,51,58,72,70,85,80,Medium,High,Right,2,4,M
210413,Alessio Romagnoli,Italy,Latium,Serie A TIM,CB,28,185,75,83,69,40,56,69,85,80,Medium,Medium,Left,2,3,M
243715,William Saliba,France,Arsenal,Premier League,CB,22,193,85,83,82,39,69,73,84,82,Medium,High,Right,2,3,M
234236,Patrik Schick,Czech Republic,Leverkusen,Bundesliga,ST,27,191,86,83,79,80,71,81,37,76,Medium,Medium,Left,4,3,M
247819,Nico Schlotterbeck,Germany,Borussia Dortmund,Bundesliga,CB,24,191,90,83,78,58,67,73,85,82,High,High,Left,3,2,M
205988,Luke Shaw,England,Manchester Utd,Premier League,LB,28,181,75,83,76,57,82,79,81,78,Medium,Medium,Left,3,2,M
230869,Unai Simón,Spain,Athletic Club,LALIGA EA SPORTS,GK,26,190,89,83,84,79,77,85,49,84,Medium,Medium,Right,1,3,M
202652,Raheem Sterling,England,Chelsea,Premier League,LW,29,170,69,83,85,78,76,85,45,67,High,Medium,Right,4,3,M
246430,Dušan Vlahović,Serbia,Juventus,Serie A TIM,ST,23,190,75,83,80,85,66,79,29,82,Medium,Medium,Left,3,3,M
227236,André-Franck Zambo Anguissa,Cameroon,Napoli FC,Serie A TIM,CDM,28,184,78,83,78,68,72,81,81,86,High,Medium,Right,3,3,M
210406,Piotr Zieliński,Poland,Napoli FC,Serie A TIM,CM,29,180,75,83,81,77,81,86,71,63,Medium,Medium,Right,4,5,M
229237,Manuel Akanji,Switzerland,Manchester City,Premier League,CB,28,187,91,82,77,48,70,72,83,78,Medium,Medium,Right,2,4,M
